AsifFryCentre,22.9891735,72.5119382,3.7,"8,SagarAvenueAppartments,NearAmberTower,SarkhejRoad,Sarkhej,Ahmedabad"
AstodiaJuiceCorner,23.0167251,72.5910664,4.2,"InfrontofS.TbusStandAstodiaDarwaja,Astodia,Ahmedabad"
Atithi,23.03798185,72.51357537,4.1,"MohiniTower,NearShraddhaPetrolPump,JudgesBungalowRoad,Bodakdev,Ahmedabad"
AtithiKathiyavadiGardenRestaurant,23.00615565,72.66880386,3.1,"NearReliancePetrolPump,OppositeMehsulBhavan,Vastral,Ahmedabad"
Aureate-ElDorado,23.03283783,72.56584592,4.2,"ElDorado,OppositeShreeKrishnaCentre,AcrossCrossword,MithakaliSixRoads,Navrangpura,Ahmedabad"
Autograph-ArmoiseHotel,23.03754774,72.56629922,3.8,"ArmoiseHotel,BehindNavarangpuraBusStand,OffCGRoad,CGRoad,Ahmedabad"
AzadSweets&Restaurant,23.04005057,72.56108835,3.9,"SilverPoint,NearNiddhiHospital,Navrangpura,Ahmedabad"
B&MBreadAndMilk,23.011694,72.523252,3.3,"Shop37,Panchtirth,BehindTitaniumCityCenter,Anandnagar,Ahmedabad"
BaapNoBagicho,23.04631732,72.51570404,2.7,"SPRingRoad,NearBhagwatiNursery,NearShilajCircle,Thaltej,Ahmedabad"
BabaEggs&Chicken,23.0851636,72.54433092,3.6,"OppositeHarivillaAppartment,Gota-ChandlodiaRoad,Chandlodia,Ahmedabad"
BadshahDairyProducts,23.00871245,72.56150845,2.9,"MahalaxmiCrossRoad,Paldi,Ahmedabad"
BaghoneRestaurant,22.94501898,72.66831368,3.9,"OppositeSwamiNarayanSchool,Hathijan,AhmedabadRoad,Ahmedabad"
BalajiGardenRestaurant,23.01923665,72.51861155,2.6,"PrernatirthDerasarRoad,OppositeSatyamComplex,Satellite,Ahmedabad"
BalajiPohaHouse,23.018829,72.5028967,2.9,"S.G.Highway,NearPrahaladNagarGarden,OppositeNexaShowroom,Satellite,Ahmedabad"
BalanDosa,23.0267343,72.50994064,3.1,"3rdFloor,MoreishFoodCourt,GulmoharParkMall,SGHighway,Satellite,Ahmedabad"
BalanDosa,23.0235104,72.58845728,4.5,"TilakMaidaan,RaatriBazar,ManekChowk,Ahmedabad"
BansilalPendawala,23.01980289,72.58986175,3.5,"OppositeRangatiKapadBazaar,Astodia,Ahmedabad"
BarbequeNation,23.04782349,72.52681777,4.5,"1stFloor,Satyaone,OppositeManavMandir,Memnagar,Ahmedabad"
BarbequeNation,23.01142998,72.5106132,4.6,"1stFloor,Formula1,BesideVenusAtlantis,100FeetRoad,PrahladNagar,Ahmedabad"
BarbequeWorld,23.02739987,72.54421525,3.8,"104,1stFloor,SigmaLegacyBuilding,IIMRoad,NearPanjarapolCrossRoads,Vastrapur,Ahmedabad"
Bayleaf-CourtyardByMarriott,23.02777415,72.51205456,4.5,"CourtyardByMarriott,RamdevnagarCrossRoad,Satellite,Ahmedabad"
Beans&Leaves-PlatinumHotels,23.00520451,72.55256899,3.9,"HotelPlatinumInn,BesidesPaldiPoliceStation,AnjaliCrossRoads,Paldi,Ahmedabad"
